asin,reviewerID,adjusted_rating,overall,overall_mean,new_reviewerID,new_asin
9790787006,A2RYSCZOPEXOCQ,-3,1,4,0,0
B000050B65,A141OPVE376YFI,1.285714286,5,3.714285714,1,1
B000050B65,A1HZVOJGCKYB0U,0,5,5,2,1
B000050B65,A231WM2Z2JL0U3,0.5,4,3.5,3,1
B000050B65,A141OPVE376YFI,1.285714286,5,3.714285714,1,1
B000050B65,A1HZVOJGCKYB0U,0,5,5,2,1
B000050B65,A231WM2Z2JL0U3,0.5,4,3.5,3,1
B000050B6B,A13GOEA9FXMQ75,0,5,5,4,2
B000050B6B,A34A1UP40713F8,0,5,5,5,2
B000050B6B,A1CUTTK2OXJPT7,0,4,4,6,2
B000050B6B,A1JK6EOHPXBQ4R,0,5,5,7,2
B000050B6B,A2W5YSA58C6ZV5,0,5,5,8,2
B000050B6B,A1TVTDKNMSQ7XU,0,5,5,9,2
B000050B6B,A13GOEA9FXMQ75,0,5,5,4,2
B000050B6B,A34A1UP40713F8,0,5,5,5,2
B000050B6B,A1CUTTK2OXJPT7,0,4,4,6,2
B000050B6B,A1JK6EOHPXBQ4R,0,5,5,7,2
B000050B6B,A2W5YSA58C6ZV5,0,5,5,8,2
B000050B6B,A1TVTDKNMSQ7XU,0,5,5,9,2
B000050B63,A2WHCYK6J8MKZ5,0,5,5,10,3
B000050B63,A1SYLII0808HD6,1,5,4,11,3
B000050B63,A1HZVOJGCKYB0U,0,5,5,2,3
B000050B63,A2WHCYK6J8MKZ5,0,5,5,10,3
B000050B63,A1SYLII0808HD6,1,5,4,11,3
B000050B63,A1HZVOJGCKYB0U,0,5,5,2,3
B000050B6H,A2NZGC22KNCRNI,-0.4,4,4.4,12,4
B000050B6H,A1YVH4YXCA9EPY,0.5,5,4.5,13,4
B000050B6H,A2NZGC22KNCRNI,-0.4,4,4.4,12,4
B000050B6H,A1YVH4YXCA9EPY,0.5,5,4.5,13,4
B000050FED,A3V6Z4RCDGRC44,-0.75,2,2.75,14,5
B000050FED,A3V6Z4RCDGRC44,-0.75,2,2.75,14,5
B000050FDT,A6FIAB28IS79,-2.125,2,4.125,15,6
B000050FDT,A1W9UJ28FABCBT,-1.5,2,3.5,16,6
B000050FDT,A3FKGKUCI3DG9U,0.428571429,5,4.571428571,17,6
B000050FDT,A6FIAB28IS79,-2.125,2,4.125,15,6
B000050FDT,A1W9UJ28FABCBT,-1.5,2,3.5,16,6
B000050FDT,A3FKGKUCI3DG9U,0.428571429,5,4.571428571,17,6
B000050FDY,A14CCPBJHKBHSF,1,5,4,18,7
B000050FDY,APV5YZZMRAJKT,-0.5,4,4.5,19,7
B000050FDY,A3J0LOCVOIEDNE,-0.6,4,4.6,20,7
B000050FDY,A22UN86W3A7NYD,0.75,5,4.25,21,7
B000050FDY,AD1WVH9MP1ZS6,0.333333333,5,4.666666667,22,7
B000050FDY,AI6UBVJ1SXJEJ,-0.6,4,4.6,23,7
B000050FDY,AVWIQEW3S4K7Z,0,4,4,24,7
B000050FDY,A2AHHKQAG09J41,0,5,5,25,7
B000050FDY,A3U6RYJ2O3WY60,0,5,5,26,7
B000050FDY,A174HG40XAEN8L,0.5,5,4.5,27,7
B000050FDY,A1CD0QWO200PDI,-0.5,4,4.5,28,7
B000050FDY,A3G8SF94M5LJMF,0.25,5,4.75,29,7
B000050FDY,ARLWS0LMC8MET,-0.5,4,4.5,30,7
B000050FDY,AVMFIEIUQ0YX9,0,5,5,31,7
B000050FDY,A1MQQEM7W77L62,2,5,3,32,7
B000050FDY,A10ZBR6O8S8OCY,0.75,5,4.25,33,7
B000050FDY,A2X3HY225S0L3T,0,5,5,34,7
B000050FDY,AVZNYJVJ7HJ9M,0.4,5,4.6,35,7
B000050FDY,AG8UWL56LLU35,0,4,4,36,7
B000050FDY,ABPNZ9RKXOP0E,0,5,5,37,7
B000050FDY,A198RQKA8VFDQ8,0,5,5,38,7
B000050FDY,A1DWCV364HR156,0,5,5,39,7
B000050FDY,AXKNMOECIV3ZA,0,5,5,40,7
B000050FDY,A14Z6D3IRJ23F7,1,5,4,41,7
B000050FDY,A2T4D8EJI2IJ2K,0,3,3,42,7
B000050FDY,A1NLVZ80ZWXKPR,0,5,5,43,7
B000050FDY,AZAC8O310IK4E,0,4,4,44,7
B000050FDY,A3RX2SPLAXUFZH,0,5,5,45,7
B000050FDY,A15SDV9Y72IHNQ,0,4,4,46,7
B000050FDY,A141OPVE376YFI,1.285714286,5,3.714285714,1,7
B000050FDY,A1CYTBE7LLUQ8F,0,5,5,47,7
B000050FDY,ABRLIXG3M9EBQ,0,5,5,48,7
B000050FDY,A14CCPBJHKBHSF,1,5,4,18,7
B000050FDY,APV5YZZMRAJKT,-0.5,4,4.5,19,7
B000050FDY,A3J0LOCVOIEDNE,-0.6,4,4.6,20,7
B000050FDY,A22UN86W3A7NYD,0.75,5,4.25,21,7
B000050FDY,AD1WVH9MP1ZS6,0.333333333,5,4.666666667,22,7
B000050FDY,AI6UBVJ1SXJEJ,-0.6,4,4.6,23,7
B000050FDY,AVWIQEW3S4K7Z,0,4,4,24,7
B000050FDY,A2AHHKQAG09J41,0,5,5,25,7
B000050FDY,A3U6RYJ2O3WY60,0,5,5,26,7
B000050FDY,A174HG40XAEN8L,0.5,5,4.5,27,7
B000050FDY,A1CD0QWO200PDI,-0.5,4,4.5,28,7
B000050FDY,A3G8SF94M5LJMF,0.25,5,4.75,29,7
B000050FDY,ARLWS0LMC8MET,-0.5,4,4.5,30,7
